Year,t/MW
2001,109.8225985
2002,107.9189679
2003,106.0153373
2004,103.9001922
2005,101.9965616
2006,99.8814165
2007,97.76627139
2008,95.86264078
2009,93.95901018
2010,80.84511046
2011,80.84511046
2012,80.84511046
2013,78.30693632
2014,70.69241391
2015,70.05787037
2016,68.7887833
2017,71.53847195
2018,70.05787037
2019,66.46212367
2020,55.25185456
2021,55.04034005
2022,54.194282
2023,53.13670944
2023,52.07913689
2025,51.02156433
2026,50.17550628
2027,48.90641921
2028,48.06036117
2029,47.00278861
2030,45.94521605
2031,45.099158
2032,44.04158545
2033,43.1955274
2034,42.13795484
2035,41.08038228
2036,40.02280972
2037,39.17675168
2038,38.11917912
2039,37.06160656
2040,36.004034
2041,35.15797596
2042,34.1004034
2043,33.04283084
2044,31.98525828
2045,31.13920024
2046,30.08162768
2047,29.02405512
2048,27.96648256
2049,27.12042452
2050,26.14035088
